City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
237,bandarbeyla,9.4942,50.8122,78.6,81,47,21.18,SO,1633210795
238,martapura,-3.4167,114.85,73.49,100,77,2.3,ID,1633210795
239,kodiak,57.79,-152.4072,42.31,39,20,26.46,US,1633210796
240,zhaodong,46.0833,125.9833,53.62,67,100,17.74,CN,1633210539
241,truckee,39.328,-120.1833,78.03,20,1,4.61,US,1633210796
242,sadon,42.8518,44.0037,38.75,88,66,4.05,RU,1633210796
243,poum,-20.2333,164.0167,75.58,82,22,11.34,NC,1633210796
244,hasaki,35.7333,140.8333,66.29,78,15,11.32,JP,1633210796
245,broome,42.2506,-75.833,72.37,66,1,1.01,US,1633210796
246,mwinilunga,-11.7358,24.4293,64.98,84,100,2.64,ZM,1633210796
247,sept-iles,50.2001,-66.3821,46.92,87,75,1.99,CA,1633210797
248,sai buri,6.7013,101.6168,76.89,85,95,2.42,TH,1633210797
249,launceston,-41.45,147.1667,53.15,100,40,0.0,AU,1633210797
250,caravelas,-17.7125,-39.2481,76.62,80,0,13.04,BR,1633210797
251,talnakh,69.4865,88.3972,16.72,92,57,2.13,RU,1633210797
252,port keats,-14.25,129.55,81.19,76,100,9.46,AU,1633210797
253,pangai,-19.8,-174.35,78.91,69,40,23.02,TO,1633210797
254,tigil,57.8,158.6667,43.5,84,100,5.73,RU,1633210798
255,biloela,-24.4167,150.5,74.01,31,0,1.9,AU,1633210798
256,la grande,45.3246,-118.0877,78.21,25,61,1.1,US,1633210798
257,beloha,-25.1667,45.05,70.81,71,2,4.63,MG,1633210798
258,tiksi,71.6872,128.8694,24.49,90,60,14.99,RU,1633210798
259,hay river,60.8156,-115.7999,51.78,62,75,14.97,CA,1633210798
260,chai badan,15.2,101.1333,80.89,93,63,1.61,TH,1633210798
261,tomatlan,19.9333,-105.25,86.25,66,39,7.78,MX,1633210798
262,bilibino,68.0546,166.4372,22.37,95,100,2.21,RU,1633210798
263,chenzhou,25.8,113.0333,76.86,81,0,4.9,CN,1633210798
264,ordzhonikidze,52.4411,61.7408,45.18,85,100,6.53,KZ,1633210798
265,urumqi,43.801,87.6005,40.15,70,75,2.24,CN,1633210798
266,kawalu,-7.3817,108.2082,71.35,92,100,1.83,ID,1633210799
267,kyshtovka,56.555,76.6271,33.78,99,100,6.08,RU,1633210799
268,atherton,53.5237,-2.4935,51.35,96,80,1.99,GB,1633210799
269,ponta do sol,32.6667,-17.1,73.71,81,4,3.6,PT,1633210799
270,arraial do cabo,-22.9661,-42.0278,78.66,69,75,4.61,BR,1633210799
271,haines junction,60.7522,-137.5108,42.75,70,99,6.91,CA,1633210799
272,teya,60.3778,92.6267,33.8,97,100,2.1,RU,1633210799
273,puerto pailas,-17.667,-62.7909,94.69,28,48,13.76,BO,1633210799
274,vardo,70.3705,31.1107,49.14,83,99,26.89,NO,1633210799
275,porto walter,-8.2686,-72.7439,85.89,53,97,0.58,BR,1633210800
276,makurdi,7.7411,8.5121,77.07,84,26,4.34,NG,1633210800
277,sterna,41.5653,26.4593,52.86,77,0,6.29,GR,1633210800
278,saint-pierre,-21.3393,55.4781,73.04,72,0,5.75,RE,1633210805
279,denpasar,-8.65,115.2167,76.71,88,40,1.14,ID,1633210587
280,zyryanka,65.75,150.85,26.53,79,98,5.57,RU,1633210808
281,alyangula,-13.8483,136.4192,78.67,83,90,5.75,AU,1633210813
282,tilichiki,60.4667,166.1,37.67,86,100,5.95,RU,1633210814
283,dubbo,-32.25,148.6167,51.93,77,90,3.44,AU,1633210814
284,qaqortoq,60.7167,-46.0333,36.1,57,3,7.23,GL,1633210814
